name,pick_1,pick_2,pick_3,pick_4
AA,7,8,6,9
AB,2,6,7,0
AC,6,0,1,10
AD,3,5,8,8
AE,10,2,6,2
AF,8,6,0,6
AG,0,9,4,10
AH,5,1,9,0
AI,0,10,10,7
AJ,10,3,5,2
AK,4,2,3,8
AL,10,5,1,9
AM,6,3,8,7
AN,9,1,10,6
AO,7,3,10,10
AP,6,0,1,10
AQ,2,1,9,0
AR,6,1,6,7
AS,1,3,1,3
AT,10,3,9,6
AU,0,4,3,9
AV,4,5,6,3
AW,5,6,10,4
AX,2,3,2,9
AY,3,2,6,0
AZ,1,1,6,0
BA,4,3,0,10
BB,7,3,8,9
BC,8,4,0,4
BD,2,10,4,9
BE,1,0,3,4
BF,9,1,1,0
BG,2,6,6,0
BH,10,10,1,10
BI,6,7,10,9
BJ,10,0,9,2
BK,6,5,4,6
BL,1,10,9,8
BM,7,7,5,1
BN,8,0,5,5
BO,6,6,9,10
BP,5,0,7,8
BQ,1,6,6,2
BR,9,2,10,1
BS,5,9,1,6
BT,5,2,8,10
BU,6,6,6,9
BV,6,1,8,3
BW,3,6,8,9
BX,6,6,1,1
BY,5,2,4,5
BZ,7,8,3,9
CA,5,0,1,8
CB,0,8,2,8
CC,0,1,6,8
CD,7,4,2,6
CE,4,4,3,3
CF,2,0,6,10
CG,8,1,5,9
CH,7,7,3,1
CI,9,3,10,8
CJ,2,3,9,3
CK,10,4,1,0
CL,5,2,10,6
CM,7,2,2,0
CN,1,8,2,2
CO,6,1,8,6
CP,0,0,8,5
CQ,1,1,0,5
CR,2,6,9,10
CS,2,4,6,9
CT,6,1,3,7
CU,2,8,2,9
CV,7,3,10,4
CW,3,6,5,6
CX,10,3,3,4
CY,0,4,4,0
CZ,6,8,7,6
DA,4,4,4,0
DB,1,9,6,10
DC,0,4,9,0
DD,9,10,4,1
DE,1,10,0,4
DF,3,9,8,9
DG,4,5,6,3
DH,10,0,10,2
DI,3,8,6,8
DJ,1,6,1,0
DK,6,9,2,2
DL,3,10,2,8
DM,0,4,8,9
DN,6,3,7,10
DO,1,4,10,7
DP,8,1,9,3
DQ,5,10,9,10
DR,2,6,1,5
DS,2,10,1,0
DT,5,5,4,6
DU,9,4,0,2
DV,2,1,10,1
DW,4,7,8,4
DX,8,10,8,1
DY,1,7,10,4
DZ,9,0,2,4
EA,4,8,2,1
EB,5,6,5,6
EC,2,2,2,7
ED,1,0,6,5
EE,2,9,0,6
EF,6,8,9,3
EG,2,5,8,4
EH,10,0,1,3
EI,4,3,5,4
EJ,10,4,5,3
EK,0,5,9,0
EL,8,2,6,6
EM,1,10,6,7
EN,9,8,3,6
EO,1,7,4,9
EP,3,7,5,9
EQ,1,1,6,8
ER,0,5,1,9
ES,7,5,10,0
ET,9,2,3,4
EU,4,1,3,9
EV,4,5,10,1
EW,0,10,8,0
EX,5,3,10,5
EY,1,2,5,1
EZ,0,10,3,6
FA,2,6,9,9
FB,3,7,4,8
FC,7,7,8,10
FD,5,2,3,4
FE,2,9,8,6
FF,8,2,8,0
FG,4,9,6,10
FH,0,2,6,6
FI,3,10,0,9
FJ,7,0,1,1
FK,6,10,4,7
FL,6,4,2,3
FM,2,3,3,8
FN,4,3,6,5
FO,4,0,4,4
FP,8,0,1,10
FQ,8,2,1,1
FR,2,0,3,2
FS,0,4,2,8
