project1,AZ,BE,BL,BQ,CC,CN,CQ,DE,DJ,DO,DY,ED,EM,EQ,EY
project2,AB,AQ,BD,BG,CF,CR,CS,DR,DS,DV,EC,EG,FA,FH,FR
project3,AD,AM,AS,AX,AY,BW,CJ,CW,DF,DI,DL,EP,FB,FI,FM
project4,AK,AU,AV,BA,CE,CY,DA,DC,DG,EI,EU,EV,FN,FO,FS
project5,AH,AW,BP,BS,BT,BY,CA,CL,DQ,DT,EB,EK,ER,EX,FD
project6,AC,AP,AR,BK,BO,BU,BV,BX,CO,CT,CZ,DN,EF,FK,FL
project7,AA,AO,BB,BI,BM,BZ,CD,CH,CM,CV,DW,EO,ES,FC,FJ
project8,AF,BC,BN,CB,CG,CP,CU,DM,DP,DX,EA,EL,FF,FP,FQ
project9,AG,AN,BF,BR,CI,DB,DD,DK,DU,DZ,EE,EN,ET,FE,FG
project10,AE,AI,AJ,AL,AT,BH,BJ,CK,CX,DH,EH,EJ,EW,EZ
project1,AZ,BE,BL,BQ,CC,CN,CQ,DE,DJ,DO,DY,ED,EM,EQ,EY
project2,AB,AQ,BD,BG,CF,CR,CS,DR,DS,DV,EC,EG,FA,FH,FR
project3,AD,AM,AS,AX,AY,BW,CJ,CW,DF,DI,DL,EP,FB,FI,FM
project4,AK,AU,AV,BA,CE,CY,DA,DC,DG,EI,EU,EV,FN,FO,FS
project5,AH,AW,BP,BS,BT,BY,CA,CL,DQ,DT,EB,EK,ER,EX,FD
project6,AC,AP,AR,BK,BO,BU,BV,BX,CO,CT,CZ,DN,EF,FK,FL
project7,AA,AO,BB,BI,BM,BZ,CD,CH,CM,CV,DW,EO,ES,FC,FJ
project8,AF,BC,BN,CB,CG,CP,CU,DM,DP,DX,EA,EL,FF,FP,FQ
project9,AG,AN,BF,BR,CI,DB,DD,DK,DU,DZ,EE,EN,ET,FE,FG
project10,AE,AI,AJ,AL,AT,BH,BJ,CK,CX,DH,EH,EJ,EW,EZ
